timestamp,status
2024-05-06 14:27:39.728386,Inativo
2024-05-06 14:27:39.776334,Inativo
2024-05-06 14:27:39.828151,Inativo
2024-05-06 14:27:39.879223,Inativo
2024-05-06 14:27:39.933117,Inativo
2024-05-06 14:27:39.983382,Postura Incorreta
2024-05-06 14:27:40.038455,Postura Incorreta
2024-05-06 14:27:40.095107,Postura Incorreta
2024-05-06 14:27:40.151201,Postura Correta
2024-05-06 14:27:40.209071,Postura Correta
2024-05-06 14:27:40.265607,Postura Correta
2024-05-06 14:27:40.323627,Postura Correta
2024-05-06 14:27:40.378972,Postura Correta
2024-05-06 14:27:40.435283,Postura Correta
2024-05-06 14:27:40.492042,Postura Correta
2024-05-06 14:27:40.548893,Postura Correta
2024-05-06 14:27:40.605164,Postura Correta
2024-05-06 14:27:40.682442,Postura Correta
2024-05-06 14:27:40.738851,Postura Correta
2024-05-06 14:27:40.796647,Postura Correta
2024-05-06 14:27:40.854602,Postura Correta
2024-05-06 14:27:40.912383,Postura Correta
2024-05-06 14:27:40.969965,Postura Correta
2024-05-06 14:27:41.024793,Postura Correta
2024-05-06 14:27:41.080695,Postura Correta
2024-05-06 14:27:41.135343,Postura Correta
2024-05-06 14:27:41.189118,Postura Correta
2024-05-06 14:27:41.243399,Postura Correta
2024-05-06 14:27:41.296126,Postura Correta
2024-05-06 14:27:41.351622,Postura Correta
2024-05-06 14:27:41.408890,Postura Correta
2024-05-06 14:27:41.467205,Postura Correta
2024-05-06 14:27:41.525743,Postura Correta
2024-05-06 14:27:41.583431,Postura Correta
2024-05-06 14:27:41.641934,Postura Correta
2024-05-06 14:27:41.701018,Postura Correta
2024-05-06 14:27:41.759214,Postura Correta
2024-05-06 14:27:41.816074,Postura Correta
2024-05-06 14:27:41.880009,Postura Correta
2024-05-06 14:27:41.934614,Postura Correta
2024-05-06 14:27:41.984268,Postura Incorreta
2024-05-06 14:27:42.036845,Postura Incorreta
2024-05-06 14:27:42.091320,Postura Incorreta
2024-05-06 14:27:42.147640,Postura Incorreta
2024-05-06 14:27:42.203733,Postura Incorreta
2024-05-06 14:27:42.260119,Postura Incorreta
2024-05-06 14:27:42.312874,Postura Incorreta
2024-05-06 14:27:42.367933,Postura Incorreta
2024-05-06 14:27:42.420504,Postura Incorreta
2024-05-06 14:27:42.472893,Postura Incorreta
2024-05-06 14:27:42.524455,Postura Incorreta
2024-05-06 14:27:42.576369,Postura Incorreta
2024-05-06 14:27:42.631137,Postura Incorreta
2024-05-06 14:27:42.683550,Inativo
2024-05-06 14:27:42.740057,Inativo
2024-05-06 14:27:42.792493,Inativo
2024-05-06 14:27:42.845396,Inativo
2024-05-06 14:27:42.893904,Inativo
2024-05-06 14:27:42.942342,Inativo
2024-05-06 14:27:42.989231,Inativo
2024-05-06 14:27:43.036829,Inativo
2024-05-06 14:27:43.084474,Inativo
2024-05-06 14:27:43.129493,Inativo
2024-05-06 14:27:43.177619,Inativo
2024-05-06 14:27:43.221783,Inativo
2024-05-06 14:27:43.268112,Inativo
2024-05-06 14:27:43.316008,Inativo
2024-05-06 14:27:43.364193,Inativo
2024-05-06 14:27:43.411920,Inativo
2024-05-06 14:27:43.456639,Inativo
2024-05-06 14:27:43.502143,Inativo
2024-05-06 14:27:43.549511,Inativo
2024-05-06 14:27:43.603762,Postura Incorreta
2024-05-06 14:27:43.653474,Postura Incorreta
2024-05-06 14:27:43.707783,Postura Incorreta
2024-05-06 14:27:43.759794,Postura Incorreta
2024-05-06 14:27:43.813216,Postura Incorreta
2024-05-06 14:27:43.885310,Postura Incorreta
2024-05-06 14:27:43.939755,Postura Incorreta
2024-05-06 14:27:43.996140,Postura Incorreta
2024-05-06 14:27:44.051259,Postura Incorreta
2024-05-06 14:27:44.108862,Postura Incorreta
2024-05-06 14:27:44.163213,Postura Incorreta
2024-05-06 14:27:44.219297,Postura Incorreta
2024-05-06 14:27:44.275438,Postura Incorreta
2024-05-06 14:27:44.331638,Postura Incorreta
2024-05-06 14:27:44.386435,Postura Incorreta
2024-05-06 14:27:44.443002,Postura Incorreta
2024-05-06 14:27:44.498713,Postura Incorreta
2024-05-06 14:27:44.555214,Postura Correta
2024-05-06 14:27:44.612160,Postura Correta
2024-05-06 14:27:44.669702,Postura Incorreta
2024-05-06 14:27:44.728299,Postura Incorreta
2024-05-06 14:27:44.783774,Postura Incorreta
2024-05-06 14:27:44.839721,Postura Correta
2024-05-06 14:27:44.894565,Inativo
2024-05-06 14:27:44.948473,Inativo
2024-05-06 14:27:45.000583,Inativo
2024-05-06 14:27:45.077980,Inativo
2024-05-06 14:27:45.129364,Inativo
2024-05-06 14:27:45.180933,Inativo
2024-05-06 14:27:45.233668,Inativo
2024-05-06 14:27:45.282930,Inativo
2024-05-06 14:27:45.332698,Inativo
2024-05-06 14:27:45.383514,Inativo
2024-05-06 14:27:45.433369,Inativo
2024-05-06 14:27:45.482212,Inativo
2024-05-06 14:27:45.538419,Inativo
2024-05-06 14:27:45.589415,Inativo
2024-05-06 14:27:45.644498,Inativo
2024-05-06 14:27:45.698649,Inativo
2024-05-06 14:27:45.752653,Inativo
2024-05-06 14:27:45.801953,Inativo
2024-05-06 14:27:45.880259,Postura Incorreta
2024-05-06 14:27:45.934848,Postura Incorreta
2024-05-06 14:27:45.989773,Postura Incorreta
2024-05-06 14:27:46.045508,Postura Incorreta
2024-05-06 14:27:46.100873,Postura Incorreta
2024-05-06 14:27:46.154806,Postura Correta
2024-05-06 14:27:46.209095,Postura Correta
2024-05-06 14:27:46.264058,Postura Incorreta
2024-05-06 14:27:46.316767,Postura Incorreta
2024-05-06 14:27:46.374760,Postura Incorreta
2024-05-06 14:27:46.430301,Postura Incorreta
2024-05-06 14:27:46.488668,Postura Incorreta
2024-05-06 14:27:46.543858,Postura Incorreta
2024-05-06 14:27:46.600640,Postura Correta
2024-05-06 14:27:46.658436,Postura Correta
2024-05-06 14:27:46.713236,Postura Incorreta
2024-05-06 14:27:46.768529,Postura Incorreta
2024-05-06 14:27:46.822815,Postura Correta
2024-05-06 14:27:46.875134,Postura Incorreta
2024-05-06 14:27:46.930605,Postura Incorreta
2024-05-06 14:27:46.988719,Postura Incorreta
2024-05-06 14:27:47.046243,Postura Incorreta
2024-05-06 14:27:47.103105,Postura Correta
2024-05-06 14:27:47.160483,Postura Correta
2024-05-06 14:27:47.216963,Postura Correta
2024-05-06 14:27:47.274168,Postura Incorreta
2024-05-06 14:27:47.334411,Postura Incorreta
2024-05-06 14:27:47.390605,Postura Incorreta
2024-05-06 14:27:47.449584,Postura Correta
2024-05-06 14:27:47.504218,Postura Correta
2024-05-06 14:27:47.561106,Postura Correta
2024-05-06 14:27:47.617332,Postura Correta
2024-05-06 14:27:47.673418,Postura Correta
2024-05-06 14:27:47.734563,Postura Incorreta
2024-05-06 14:27:47.792235,Postura Incorreta
2024-05-06 14:27:47.849479,Postura Correta
2024-05-06 14:27:47.905898,Postura Correta
2024-05-06 14:27:47.962846,Postura Correta
2024-05-06 14:27:48.023390,Postura Correta
2024-05-06 14:27:48.080606,Postura Correta
2024-05-06 14:27:48.139027,Postura Correta
2024-05-06 14:27:48.196815,Postura Correta
2024-05-06 14:27:48.253885,Postura Correta
2024-05-06 14:27:48.311998,Postura Correta
2024-05-06 14:27:48.371971,Postura Correta
2024-05-06 14:27:48.431551,Postura Correta
2024-05-06 14:27:48.489295,Postura Correta
